Date,Index,VaR95_exc,VaR99_exc,Severity95
2002-08-12,IBEX,0,0,
2002-08-13,IBEX,0,0,
2002-08-14,IBEX,0,0,
2002-08-15,IBEX,0,0,
2002-08-16,IBEX,0,0,
2002-08-19,IBEX,0,0,
2002-08-20,IBEX,0,0,
2002-08-21,IBEX,0,0,
2002-08-22,IBEX,0,0,
2002-08-23,IBEX,0,0,
2002-08-26,IBEX,0,0,
2002-08-27,IBEX,0,0,
2002-08-28,IBEX,1,0,-0.540671608698934
2002-08-29,IBEX,0,0,
2002-08-30,IBEX,0,0,
2002-09-02,IBEX,0,0,
2002-09-03,IBEX,1,0,-0.28834063191781434
2002-09-04,IBEX,0,0,
2002-09-05,IBEX,0,0,
2002-09-06,IBEX,0,0,
2002-09-09,IBEX,0,0,
2002-09-10,IBEX,0,0,
2002-09-11,IBEX,0,0,
2002-09-12,IBEX,1,0,-0.7977962101526188
2002-09-13,IBEX,0,0,
2002-09-16,IBEX,0,0,
2002-09-17,IBEX,0,0,
2002-09-18,IBEX,1,0,-0.07895641528487207
2002-09-19,IBEX,0,0,
2002-09-20,IBEX,0,0,
2002-09-23,IBEX,1,0,-0.34856101624896274
2002-09-24,IBEX,1,0,-0.5213256444821943
2002-09-25,IBEX,0,0,
2002-09-26,IBEX,0,0,
2002-09-27,IBEX,0,0,
2002-09-30,IBEX,1,0,-0.5979221577175688
2002-10-01,IBEX,0,0,
2002-10-02,IBEX,0,0,
2002-10-03,IBEX,0,0,
2002-10-04,IBEX,0,0,
2002-10-07,IBEX,0,0,
2002-10-08,IBEX,0,0,
2002-10-09,IBEX,0,0,
2002-10-10,IBEX,0,0,
2002-10-11,IBEX,0,0,
2002-10-14,IBEX,0,0,
2002-10-15,IBEX,0,0,
2002-10-16,IBEX,0,0,
2002-10-17,IBEX,0,0,
2002-10-18,IBEX,0,0,
2002-10-21,IBEX,0,0,
2002-10-22,IBEX,0,0,
2002-10-23,IBEX,1,0,-0.015001854965886352
2002-10-24,IBEX,0,0,
2002-10-25,IBEX,0,0,
